gene_name,uniprot_entry,seq_length,saps_propensity,pdps_propensity,mix_ps_propensity,saps_psregion_length,pdps_psregion_length,mix_psregion_length
TUBAL3,TBAL3_HUMAN,446,0.09543892,0.08791922,0.14732805,0,0,0
SMCHD1,SMHD1_HUMAN,2005,0.26964912,0.63954765,0.59455,0,323,129
CASTOR2,CAST2_HUMAN,329,0.0010945877,0.023936205,0.09613236,0,0,0
MSGN1,MSGN1_HUMAN,193,0.11852209,0.070697024,0.34366387,0,0,0
MYMK,MYMK_HUMAN,221,0.005550293,0.0015924437,0.038581155,0,0,0
LILRA5,LIRA5_HUMAN,299,6.0341932e-05,3.7456547e-07,0.013628321,0,0,0
UNC119B,U119B_HUMAN,251,0.1278142,0.5447454,0.5360185,0,0,44
WTIP,WTIP_HUMAN,430,0.64678776,0.24877565,0.36697543,122,0,0
NKX6-3,NKX63_HUMAN,265,0.57807183,0.20121415,0.5559366,55,0,56
METTL15,MET15_HUMAN,407,0.0061973887,0.05755964,0.20049028,0,0,0
ACOD1,IRG1_HUMAN,481,0.00078940426,0.02541633,0.09808069,0,0,0
LIPT2,LIPT2_HUMAN,231,0.27022737,0.115825675,0.21918797,0,0,0
RASSF10,RASFA_HUMAN,507,0.5815929,0.49812526,0.3606702,110,45,0
PCNX2,PCX2_HUMAN,2137,0.5332192,0.3162802,0.44004497,64,0,49
ANXA2P2,AXA2L_HUMAN,339,0.03996186,0.5809192,0.33718425,0,48,0
COL6A6,CO6A6_HUMAN,2263,0.45739108,0.83642006,0.42899594,0,186,0
IFITM5,IFM5_HUMAN,132,0.0029526684,0.15305437,0.07590073,0,0,0
TTLL13,TTL13_HUMAN,815,0.39456996,0.54627246,0.43620926,0,48,0
SLC38A8,S38A8_HUMAN,435,0.00026424785,0.002663924,0.026801098,0,0,0
USP27X,UBP27_HUMAN,438,0.02016915,0.100797035,0.15957275,0,0,0
TUBB8B,TBB8B_HUMAN,444,0.018341566,0.45728356,0.46990436,0,0,0
TTLL8,TTLL8_HUMAN,850,0.19391093,0.22072776,0.41314092,0,0,0
ZSWIM8,ZSWM8_HUMAN,1837,0.35304078,0.5504502,0.72498286,0,37,204
MYH7B,MYH7B_HUMAN,1983,0.4897458,0.9173514,0.4610208,40,1145,0
ARHGAP32,RHG32_HUMAN,2087,0.50393015,0.7036816,0.5707751,37,272,87
TBKBP1,TBKB1_HUMAN,615,0.65023565,0.5395223,0.5142043,232,0,55
SRRM4,SRRM4_HUMAN,611,0.6937287,0.058614664,0.5647323,81,0,81
SOBP,SOBP_HUMAN,873,0.65203106,0.6397233,0.83815944,250,166,520
POM121C,P121C_HUMAN,1229,0.97466373,0.7162426,0.9019183,393,235,684
WASHC1,WASH1_HUMAN,465,0.5423236,0.5545958,0.5974259,56,0,89
A2ML1,A2ML1_HUMAN,1454,0.014633285,0.061470527,0.35595676,0,0,0
CD300LB,CLM7_HUMAN,201,0.00081880565,3.8908925e-06,0.027878404,0,0,0
CLCA1,CLCA1_HUMAN,914,0.45524654,0.4656557,0.4997638,43,34,40
POU2AF3,OCAT2_HUMAN,251,0.107814886,0.32038072,0.36357298,0,0,0
SFI1,SFI1_HUMAN,1242,0.029960236,0.006509899,0.12741145,0,0,0
ZNF785,ZN785_HUMAN,405,0.105163954,0.020651452,0.47930855,0,0,0
GABRR3,GBRR3_HUMAN,467,0.0011687579,0.0027157983,0.04132895,0,0,0
CYSRT1,CRTP1_HUMAN,144,0.5577858,0.1424017,0.66273826,44,0,89
NEURL1B,NEU1B_HUMAN,555,0.40962416,0.32528773,0.29168403,0,0,0
CENPX,CENPX_HUMAN,81,0.0018907906,0.0018741998,0.049298473,0,0,0
CIMIP2B,CMI2B_HUMAN,275,0.17987572,0.04211245,0.22378103,0,0,0
GNAT3,GNAT3_HUMAN,354,0.027504196,0.28095022,0.18969488,0,0,0
FOXI3,FOXI3_HUMAN,420,0.86652374,0.6603025,0.84890443,124,135,140
NOTO,NOTO_HUMAN,251,0.0035732884,0.00022200707,0.11279915,0,0,0
BBIP1,BBIP1_HUMAN,92,0.00014388976,0.014217956,0.08534312,0,0,0
SMTNL1,SMTL1_HUMAN,494,0.60913616,0.63204473,0.72179586,0,257,273
CSKMT,CSKMT_HUMAN,240,0.00017394141,0.00026085312,0.063035935,0,0,0
VGLL3,VGLL3_HUMAN,326,0.30432162,0.39363098,0.61116815,0,0,87
HEPACAM2,HECA2_HUMAN,462,0.026473213,0.004630008,0.14317001,0,0,0
PHF20L1,P20L1_HUMAN,1017,0.23515041,0.70419645,0.7324874,0,154,290
BECN2,BECN2_HUMAN,431,0.41495752,0.42753705,0.25188142,0,0,0
MEI4,MEI4_HUMAN,385,0.08701345,0.16524406,0.09501294,0,0,0
GRXCR1,GRCR1_HUMAN,290,0.13365397,0.1439325,0.3211506,0,0,0
NUDT19,NUD19_HUMAN,375,0.00063901476,0.0065050544,0.22002418,0,0,0
KCNU1,KCNU1_HUMAN,1149,0.030300308,0.15134697,0.16963956,0,0,0
LEUTX,LEUTX_HUMAN,198,0.019829318,0.11660659,0.32630625,0,0,0
COL6A5,CO6A5_HUMAN,2615,0.27105182,0.63657415,0.40086287,0,52,0
KPNA7,IMA8_HUMAN,516,0.17468648,0.71526724,0.6408123,0,78,111
MIF4GD,MI4GD_HUMAN,222,0.029559067,0.23624668,0.17657472,0,0,0
AHRR,AHRR_HUMAN,701,0.0456693,0.26004323,0.20260358,0,0,0
MYO1G,MYO1G_HUMAN,1018,0.09441297,0.46444923,0.25004905,0,0,0
FBXW7-AS1,DESPR_HUMAN,85,5.450319e-05,2.5664076e-06,0.0066338084,0,0,0
HACD1,HACD1_HUMAN,288,0.006841065,0.00045307525,0.041388914,0,0,0
ESPN,ESPN_HUMAN,854,0.5537237,0.78871715,0.68425703,0,257,191
NALF1,NALF1_HUMAN,458,0.5145027,0.036030218,0.3171274,40,0,0
MYO9A,MYO9A_HUMAN,2548,0.36445618,0.68138564,0.5441275,0,118,37
VWC2L,VWC2L_HUMAN,222,0.33565807,0.17813827,0.5855084,0,0,117
SMIM1,SMIM1_HUMAN,78,0.0076706274,8.334982e-05,0.041035853,0,0,0
ZBTB42,ZBT42_HUMAN,422,0.015682407,0.06908558,0.06350999,0,0,0
KDM4E,KDM4E_HUMAN,506,0.37929398,0.3309999,0.41753894,34,0,0
IQCJ-SCHIP1,IQIP1_HUMAN,563,0.6847044,0.4818623,0.6199336,175,32,178
TARM1,TARM1_HUMAN,271,1.5811038e-05,2.636708e-06,0.019860134,0,0,0
KCNJ18,KCJ18_HUMAN,433,0.07618332,0.10504951,0.10885711,0,0,0
GPR89A,GPHRA_HUMAN,455,0.0002838859,0.0015488705,0.023668403,0,0,0
WASH3P,WASH3_HUMAN,463,0.5738425,0.560266,0.5685716,56,0,62
PATL2,PATL2_HUMAN,543,0.15605715,0.2856721,0.221908,0,0,0
MCRIP1,MCRI1_HUMAN,97,0.014131976,0.003554096,0.16392025,0,0,0
KBTBD13,KBTBD_HUMAN,458,0.05835716,0.3431098,0.44244695,0,0,0
AKR1B15,AK1BF_HUMAN,316,8.046483e-05,0.0059358133,0.18817489,0,0,0
KLRF2,KLRF2_HUMAN,207,3.9069248e-05,2.8830047e-05,0.02542623,0,0,0
MCIDAS,MCIN_HUMAN,385,0.22207682,0.23205964,0.2785253,0,0,0
STMP1,STMP1_HUMAN,47,0.0011340525,0.0054834858,0.12718537,0,0,0
SLCO1B3-SLCO1B7,SO1BT_HUMAN,687,0.00046338217,0.06931855,0.08262471,0,0,0
SUMO1P1,SUMO5_HUMAN,101,0.0009946111,0.2807706,0.28922656,0,0,0
TMEM250,TM250_HUMAN,139,5.4887543e-05,9.68842e-06,0.005338749,0,0,0
TGFBR3L,TGR3L_HUMAN,292,0.020872056,0.0036404605,0.04891232,0,0,0
SMIM22,SIM22_HUMAN,83,0.00012116217,2.1051632e-05,0.019129222,0,0,0
IFNL4,IFNL4_HUMAN,179,0.0039573526,4.027993e-05,0.017345414,0,0,0
MIEF1,MIDUO_HUMAN,70,0.006603174,0.056924302,0.114148915,0,0,0
DCDC1,DCDC1_HUMAN,1783,0.16137211,0.57995284,0.40014297,0,205,0
DNASE2,DNS2A_HUMAN,360,0.0067013963,0.00017294301,0.054267216,0,0,0
AGPS,ADAS_HUMAN,658,0.14265701,0.39681104,0.27168763,0,0,0
UBXN8,UBXN8_HUMAN,270,0.044466116,0.1013502,0.14569196,0,0,0
KIF2A,KIF2A_HUMAN,706,0.47993726,0.69517547,0.7210341,0,172,191
SGK1,SGK1_HUMAN,431,0.0018751923,0.35903162,0.37457576,0,0,0
TK2,KITM_HUMAN,265,0.00051394204,0.010285128,0.079487935,0,0,0
FZD9,FZD9_HUMAN,591,0.021428647,0.0002793938,0.027106974,0,0,0
DDX39A,DX39A_HUMAN,427,0.047630567,0.44061428,0.41119736,0,40,31
PDLIM1,PDLI1_HUMAN,329,0.18750794,0.43671837,0.59632486,0,0,93
ACOT7,BACH_HUMAN,380,0.11215563,0.342894,0.47764522,0,0,0
GPR25,GPR25_HUMAN,361,0.0011292121,1.4902619e-07,0.0023400313,0,0,0
MYO1C,MYO1C_HUMAN,1063,0.03935331,0.6000156,0.24413662,0,78,0
MYO1F,MYO1F_HUMAN,1098,0.34401733,0.6022858,0.7221964,0,35,179
SNAP23,SNP23_HUMAN,211,0.69852173,0.39423677,0.5379393,152,40,58
HAX1,HAX1_HUMAN,279,0.7818901,0.24455933,0.707492,90,0,92
EYA2,EYA2_HUMAN,538,0.7644869,0.5711194,0.7596494,121,92,152
FXYD1,PLM_HUMAN,92,0.011702321,7.2906378e-06,0.053719103,0,0,0
AIP,AIP_HUMAN,330,0.12845086,0.48447618,0.3479841,0,0,0
CCL24,CCL24_HUMAN,119,0.00063598703,0.0024666344,0.12248236,0,0,0
GTPBP1,GTPB1_HUMAN,669,0.28660113,0.4863317,0.579963,0,45,71
KCNK1,KCNK1_HUMAN,336,0.0005750531,0.02373377,0.071559004,0,0,0
LGALS9,LEG9_HUMAN,355,0.28104824,0.23560056,0.6786047,46,0,82
STXBP3,STXB3_HUMAN,592,0.009761756,0.5113454,0.18008325,0,35,0
MASP2,MASP2_HUMAN,686,0.0034734267,0.0002191988,0.060151856,0,0,0
AP4M1,AP4M1_HUMAN,453,0.0021442084,0.055759877,0.08328274,0,0,0
ARVCF,ARVC_HUMAN,962,0.7040291,0.787993,0.650839,178,125,165
RAB27B,RB27B_HUMAN,218,0.0010686072,0.7005745,0.2788711,0,0,0
HRK,HRK_HUMAN,91,0.04623342,0.00049223483,0.052016724,0,0,0
AP3B1,AP3B1_HUMAN,1094,0.40433273,0.7899758,0.6064366,0,310,109
SULT2B1,ST2B1_HUMAN,365,0.0032949732,0.05471028,0.2050074,0,0,0
TLR4,TLR4_HUMAN,839,0.01443169,0.003623742,0.093827985,0,0,0
RHOD,RHOD_HUMAN,210,0.0003844444,0.4374104,0.22586575,0,0,0
APBB1,APBB1_HUMAN,710,0.28897926,0.47106767,0.5919916,0,0,107
LGALS8,LEG8_HUMAN,317,0.020476142,0.02256446,0.20208701,0,0,0
NDUFS8,NDUS8_HUMAN,210,0.01934362,0.030188913,0.20957994,0,0,0
HAS3,HYAS3_HUMAN,553,0.0025131705,0.0003071618,0.037701953,0,0,0
TNFRSF10A,TR10A_HUMAN,468,0.17738584,0.0062543466,0.07828142,0,0,0
NFKBIE,IKBE_HUMAN,500,0.09956993,0.24268529,0.14892969,0,0,0
GRM8,GRM8_HUMAN,908,0.035681587,0.10118969,0.15241933,0,0,0
PSMD11,PSD11_HUMAN,422,0.00047038897,0.14601183,0.12584941,0,0,0
PSMD12,PSD12_HUMAN,456,0.012199112,0.33444706,0.23134701,0,0,0
PSMD9,PSMD9_HUMAN,223,0.47064012,0.35432917,0.5715224,0,0,0
RNF103,RN103_HUMAN,685,0.0018825745,0.057504468,0.13483624,0,0,0
BMPR1B,BMR1B_HUMAN,502,0.105085984,0.047813136,0.34642142,0,0,0
SIRPB1,SIRB1_HUMAN,398,7.2149145e-05,8.8605884e-05,0.061152637,0,0,0
ATOX1,ATOX1_HUMAN,68,3.964429e-07,0.0022857934,0.28060356,0,0,0
AGRP,AGRP_HUMAN,132,0.006668278,0.00015429399,0.034126647,0,0,0
F2RL2,PAR3_HUMAN,374,4.2554104e-05,2.0043967e-07,0.004506568,0,0,0
MEN1,MEN1_HUMAN,610,0.42598668,0.4004143,0.49586993,37,0,54
CBX4,CBX4_HUMAN,560,0.74261314,0.66344124,0.7760235,201,250,493
GET1,GET1_HUMAN,174,0.0052786404,0.0022026175,0.034656115,0,0,0
PGRMC1,PGRC1_HUMAN,195,0.033293147,0.11871245,0.186874,0,0,0
SUPT5H,SPT5H_HUMAN,1087,0.9542637,0.756821,0.8750884,287,528,923
TAF4,TAF4_HUMAN,1085,0.8550332,0.8818426,0.8585175,674,616,796
GPR31,GPR31_HUMAN,319,0.00055646955,4.2894231e-07,0.0042876406,0,0,0
DFFA,DFFA_HUMAN,331,0.14171538,0.07724644,0.15437976,0,0,0
RFXAP,RFXAP_HUMAN,272,0.6126755,0.3337793,0.52925813,0,0,34
HIP1,HIP1_HUMAN,1037,0.51216704,0.7903442,0.42214108,0,178,0
LEFTY2,LFTY2_HUMAN,366,0.042268135,0.0016305378,0.04081416,0,0,0
TULP1,TULP1_HUMAN,542,0.39889377,0.7056925,0.68469924,0,180,291
CLIC1,CLIC1_HUMAN,241,0.00355987,0.4266549,0.26712996,0,0,0
TNFRSF11B,TR11B_HUMAN,401,0.036273766,0.0020470158,0.13327473,0,0,0
EIF3F,EIF3F_HUMAN,357,0.30948457,0.6761523,0.7748001,0,99,91
CACNB4,CACB4_HUMAN,520,0.5749535,0.5185371,0.6442727,60,0,126
WWP2,WWP2_HUMAN,870,0.66321987,0.40885672,0.78767174,88,0,200
CDC7,CDC7_HUMAN,574,0.0070087253,0.36049673,0.44508633,0,0,0
UPK1A,UPK1A_HUMAN,258,5.199705e-05,0.0029614319,0.0112042,0,0,0
BMAL1,BMAL1_HUMAN,626,0.43365487,0.4707559,0.5773615,39,0,45
PIK3CD,PK3CD_HUMAN,1044,0.028506875,0.27011627,0.1737981,0,0,0
PDHX,ODPX_HUMAN,501,0.21293876,0.6603109,0.63830566,0,110,168
SLC28A1,S28A1_HUMAN,649,0.029965091,0.0054969927,0.06994536,0,0,0
SULT1C2,ST1C2_HUMAN,296,0.0029701043,0.010329244,0.026493534,0,0,0
MATN2,MATN2_HUMAN,956,0.16321813,0.19311318,0.23956053,0,0,0
SLC1A7,EAA5_HUMAN,560,0.10119984,0.19463252,0.16182609,0,0,0
FOXE1,FOXE1_HUMAN,373,0.7840575,0.6580272,0.8353524,252,120,289
sp|O00370|LORF2_HUMAN,LORF2_HUMAN,1275,0.046867378,0.65487516,0.35102838,0,120,0
QSOX1,QSOX1_HUMAN,747,0.002248395,0.2177221,0.11696394,0,0,0
DCTN6,DCTN6_HUMAN,190,0.17030492,0.668103,0.73459667,0,40,138
SLC33A1,ACATN_HUMAN,549,0.00032427808,0.0006148844,0.06301471,0,0,0
WASL,WASL_HUMAN,505,0.7572958,0.8049995,0.86268187,275,294,433
PDE2A,PDE2A_HUMAN,941,0.008505971,0.3083485,0.12381389,0,31,0
FOXN3,FOXN3_HUMAN,490,0.5491539,0.56643677,0.6031747,99,88,113
IPO5,IPO5_HUMAN,1097,0.091556504,0.87110406,0.6083601,0,519,113
POLRMT,RPOM_HUMAN,1230,0.015984863,0.14434215,0.10424955,0,0,0
EEF2K,EF2K_HUMAN,725,0.11115825,0.4796959,0.5273469,0,0,34
CCRL2,CCRL2_HUMAN,344,0.00039892615,1.8220235e-05,0.012820614,0,0,0
SAP18,SAP18_HUMAN,153,0.035724215,0.5699886,0.42221642,0,31,0
EML1,EMAL1_HUMAN,815,0.4199513,0.47343522,0.52441436,31,0,54
IGF2BP3,IF2B3_HUMAN,579,0.38824254,0.8697357,0.7716502,38,350,579
DNM1L,DNM1L_HUMAN,736,0.19396803,0.6834036,0.41687506,0,70,34
RTCA,RTCA_HUMAN,366,0.109568395,0.2627189,0.3083486,0,0,0
PIK3C2A,P3C2A_HUMAN,1686,0.12496184,0.5807754,0.5097655,0,64,41
PLK4,PLK4_HUMAN,970,0.40386915,0.79642093,0.5863129,47,71,71
SYT5,SYT5_HUMAN,386,0.071574576,0.008916957,0.14113839,0,0,0
GFRA2,GFRA2_HUMAN,464,0.07168356,0.0074083097,0.09490879,0,0,0
LST1,LST1_HUMAN,97,0.027801538,0.00027303962,0.062202346,0,0,0
PIK3R2,P85B_HUMAN,728,0.40078568,0.659405,0.43262154,0,96,0
GOLIM4,GOLI4_HUMAN,696,0.7374387,0.81306875,0.77729356,468,427,454
MANBA,MANBA_HUMAN,879,0.0018680434,0.0032097406,0.073914714,0,0,0
TRAF5,TRAF5_HUMAN,557,0.405891,0.33107096,0.29062083,0,0,0
AGRN,AGRIN_HUMAN,2068,0.6377682,0.4847389,0.6757869,121,0,340
PLOD2,PLOD2_HUMAN,737,0.00026581876,0.17242558,0.11785493,0,0,0
MEIS1,MEIS1_HUMAN,390,0.5800958,0.63261133,0.77966344,108,74,121
EXOC5,EXOC5_HUMAN,708,0.5559913,0.6825,0.5393706,52,97,44
ELL2,ELL2_HUMAN,640,0.517203,0.58864677,0.49879545,31,79,55
SLC17A3,NPT4_HUMAN,420,0.00020552086,0.044778734,0.07857796,0,0,0
BTN3A3,BT3A3_HUMAN,584,0.19800405,0.1749168,0.27477282,0,0,0
BTN3A1,BT3A1_HUMAN,513,0.14653677,0.035714693,0.1942116,0,0,0
NR5A2,NR5A2_HUMAN,541,0.29466614,0.60388005,0.49979672,0,79,0
NDUFA4,NDUA4_HUMAN,81,0.00010041428,0.0012782534,0.073280394,0,0,0
PSMD14,PSDE_HUMAN,310,0.122843064,0.25174183,0.32824033,0,0,0
ZNF593,ZN593_HUMAN,134,0.17038164,0.4677821,0.44549137,0,36,0
BIN1,BIN1_HUMAN,593,0.2180216,0.6477485,0.5965388,0,153,105
CLDN5,CLD5_HUMAN,218,0.003919056,0.00097354903,0.036830127,0,0,0
KPNA3,IMA4_HUMAN,521,0.12169768,0.720627,0.7014566,0,0,202
STK25,STK25_HUMAN,426,0.008280048,0.38808697,0.52300346,0,0,0
USP9Y,USP9Y_HUMAN,2555,0.38566762,0.51085573,0.6032697,0,34,64
BCL9,BCL9_HUMAN,1426,0.9058809,0.7019957,0.8578879,1009,720,1426
FAAH,FAAH1_HUMAN,579,0.09771245,0.008252377,0.21269372,0,0,0
KRIT1,KRIT1_HUMAN,736,0.10443534,0.58456826,0.24209686,0,61,0
